"Submit_ID","Brand_Reg","Model_No","SoldIn","Screen_Tech","Avg_mode_power","Star2","ScreenSize_Category"
158394,"KOGAN","KALED42F98TE","Australia,Fiji,New Zealand","LCD (LED)",39.8,6,"43 inch"
158394,"KOGAN","KALED42F98TF","Australia,Fiji,New Zealand","LCD (LED)",39.8,6,"43 inch"
158394,"KOGAN","KALED42F98T","Australia,Fiji,New Zealand","LCD (LED)",39.8,6,"43 inch"
158395,"KOGAN","KALED24R98TA","Australia,Fiji,New Zealand","LCD (LED)",16.2,6,"22 inch"
158395,"KOGAN","KALED24R98TB","Australia,Fiji,New Zealand","LCD (LED)",16.2,6,"22 inch"
158395,"KOGAN","KALED24R98TC","Australia,Fiji,New Zealand","LCD (LED)",16.2,6,"22 inch"
158395,"KOGAN","KALED24R98TD","Australia,Fiji,New Zealand","LCD (LED)",16.2,6,"22 inch"
158395,"KOGAN","KALED24R98TE","Australia,Fiji,New Zealand","LCD (LED)",16.2,6,"22 inch"
158395,"KOGAN","KALED24R98T","Australia,Fiji,New Zealand","LCD (LED)",16.2,6,"22 inch"
158416,"SAMSUNG ELECTRONICS","QA98QN90DAW","Australia,Fiji,New Zealand","LCD (LED)",256,5,"75 inch+"
158416,"SAMSUNG ELECTRONICS","QA98QN90DAS","Australia,Fiji,New Zealand","LCD (LED)",256,5,"75 inch+"
158416,"SAMSUNG ELECTRONICS","QA98QN90DA","Australia,Fiji,New Zealand","LCD (LED)",256,5,"75 inch+"
158421,"SAMSUNG ELECTRONICS","QA55S90DAW","Australia,Fiji,New Zealand","LCD (LED)",112,4,"50 inch"
